"","MMRS12272136ST-27-0-0","MMRS14379078ST-27-0-0","MMRS14602194ST-27-0-0","MMRS15137911ST-27-0-0","MMRS16644320ST-27-0-0","MMRS18295921ST-27-0-0","MMRS24340226ST-27-0-0","MMRS25641480ST-27-0-0","MMRS31306426ST-27-0-0","MMRS34525504ST-27-0-0","MMRS41266697ST-27-0-0","MMRS41711735ST-27-0-0","MMRS42780924ST-27-0-0","MMRS43563715ST-27-0-0","MMRS43939546ST-27-0-0","MMRS44197125ST-27-0-0","MMRS44203591ST-27-0-0","MMRS44587603ST-27-0-0","MMRS47662059ST-27-0-0","MMRS47685461ST-27-0-0","MMRS51410669ST-27-0-0","MMRS51728985ST-27-0-0","MMRS54316675ST-27-0-0","MMRS55294627ST-27-0-0","MMRS59699117ST-27-0-0","MMRS62376181ST-27-0-0","MMRS64281211ST-27-0-0","MMRS65205033ST-27-0-0","MMRS65945127ST-27-0-0","MMRS67247116ST-27-0-0","MMRS68910755ST-27-0-0","MMRS71762412ST-27-0-0","MMRS72802364ST-27-0-0","MMRS72980899ST-27-0-0","MMRS77018926ST-27-0-0","MMRS77321055ST-27-0-0","MMRS77487595ST-27-0-0","MMRS78791111ST-27-0-0","MMRS80093644ST-27-0-0","MMRS81194191ST-27-0-0","MMRS81671217ST-27-0-0","MMRS84954772ST-27-0-0","MMRS85382779ST-27-0-0","MMRS86178473ST-27-0-0","MMRS86958796ST-27-0-0","MMRS90191266ST-27-0-0","MMRS92544445ST-27-0-0","MMRS93508324ST-27-0-0","MMRS96422329ST-27-0-0","MMRS97052561ST-27-0-0","MMRS97327636ST-27-0-0","MMRS99045180ST-27-0-0"
"Porphyromonas endodontalis",0,0.02925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas gingivalis",0,0.02603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus sp. HMSC71H05",0,0.02175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963,0,0,0,0,0,0,0,0.03177,0,0.01459,0,0.00145,0,0,0,0,0,0.02355,0,0.00348,0,0,0.00216,0,0.07965,0,0,0.0209,0.00553,0.00111,0,0.00285,0,0
"Veillonella tobetsuensis",0,0.02091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus sanguinis",0,0.00617,0.0073,0.04327,0,0.00228,0.00655,0,0,0,0,0.0091,0,0,0,0,0,0,0,0,0,0,0.00954,0.01517,0,0.01903,0,0,0,0,0,0,0,0,0,0.00427,0.03279,0,0.03339,0,0,0,0,0.00531,0,0,0,0,0,0,0,0
"Prevotella intermedia",0,0.00497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75658,0,0,0,0,0,0,0,0,0,0,0,0,0.00269,0,0,0,0,0.09403,0,0,0,0,0,0
"Pseudomonas lundensis",0,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides johnsonii",0,0.0017,0,0,0,0,0,0,0.00575,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0.02008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella morbillorum",0,0.0013,0,0,0,0.00405,0,0,0,0,0,0,3e-04,0,0,0.37401,0,0,0,0,0,0,0.07236,0,0,0,0,0.90659,0,0,0,0,0.00308,0,0,0.00863,0,0,0,0.05226,0.0013,0,0,0.00284,0,0,0,0,0,0.27796,0,0
"Lancefieldella parvula",0,0.00077,0,0.01336,0,0.00361,0,0,0,0,0,0,0.00053,0,0.00193,0,0,0.00412,0,0,0,0.02238,0,0,0,0.00311,0,0.10049,0.0101,0,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solobacterium moorei",0,0.00045,0.05853,0,0,0.00319,0,0,0,0,0,0,0,0,0.0036,0.44434,0,0,0,0,0,0,0.13147,0,0,0.00143,0,0.05272,0.00557,0,0,0,0.04722,0.00344,0,0,0,0,0.00441,0.0765,0.00583,0,0,0,0,0,0,0,0,0.01045,0,0
"Parabacteroides sp. CAG:409",0,0,1.91266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus vaginalis",0,0,0.04503,0.16769,0,0,0,0,0,0,0,0,0,0,0,0.10644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05299,0,0,0,0,0,0.01906,0.02089,0,0,0.0011,0,0,0,0,0,0,0,0.83959,0
"Parvimonas sp. KA00067",0,0,0.03633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07719,0,0,0,0.00385,0,0,0,0,0,0,0,0,0.14046,0,0
"[Clostridium] methylpentosum",0,0,0.02458,0.01114,0,0,0,0.0047,0,0,0.00034,0.00063,0,0.00408,0.00334,0,0,0,0,0,0,0,0,0,0,0,0.00926,0,0,0,0.00108,0,0,0,0.00141,0,0,0,0.00474,0,0,0,0,0.01281,0,0,0,0,0,0,0.02355,0
"[Clostridium] innocuum",0,0,0.01852,0,0.00126,0,0.00562,0.01042,0,0,0.06235,0.08373,0.00508,0.00735,0.0183,0.23957,0.03621,0,0,0.05354,0,0,0,0,0.02768,0.02887,0.60008,0,0.77453,0,0.02489,0,0.00634,0.04659,0,0.00171,0,0.00208,0.07442,0.03182,0,0.01202,0,0.08638,0,0.01464,0,0,0,0.00402,0.08739,0
"Blautia coccoides",0,0,0.01809,0,0,0,0,0.00312,0,0,0,0.00682,0,0.00695,0,0,0,0,0,0.00727,0,0,0,0,0.00649,0,0,0,0.10249,0,0,0,0,0.01759,0,0,0,0,0,0,0,0,0,0,0,0,0.01219,0,0,0,0.07353,0
"Peptoniphilus harei",0,0,0.01728,0,0,0,0,0,0,0,0,0,0,0,0,0.05077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01053,0,0,0,0,0,0,0,0,0,0,0,0.14396,0
"Streptococcus downei",0,0,0.00879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christensenella hongkongensis",0,0,0.00828,0.00553,0,0,0,0.02875,0,0,0.00174,0.01586,0,0.00087,0.00138,0,0,0,0,0,0,0,0,0.01218,0,0,0.00241,0,0,0.00433,0.00687,0.03881,0,0.07752,0,0,0.0209,0,0,0,0,0,0,0,0,0,0,0.00612,0,0,0,0
"Anaerofustis stercorihominis",0,0,0.00538,0.02825,0,0,0,0,0,0,0,0,0.00145,0,0,0.08502,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0,0,0,0,0.00516,0,0,0,0,0.01925,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus coxii",0,0,0.00492,0.00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus sp. BV3C26",0,0,0.00387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus lacrimalis",0,0,0.00282,0,0,0,0,0.00065,0,0,0,0,0,0,0,0.10318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium nucleatum",0,0,0.00277,0.21985,0,0,0,0,0,0,0,0,0,0,0.03468,0.05765,0,0,0,0,0,0,0.00368,0,0,0,0,0.0984,0.0391,0,0,0.00356,0.00707,0,0,0,0.00073,0,0,0.2427,0,0,0,0,0,0,0,0,0,0,0.0161,0
"Streptococcus gordonii",0,0,0.00234,0.00573,0,0.01085,0.00711,0,0,0.02162,0,0.01308,0,0,0,0,0,0.02968,0,0.00045,0,0.2821,0,0,0,0.09604,0,0.07338,0.02171,0,0,0,0,0.01338,0,0.013,0,0,0.00084,0,0,0,0,0.13429,0.00529,0,0,0,0,0,0,0
"Actinomyces radicidentis",0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia producta",0,0,0.00106,0.02348,0,0,0.02434,0,0.00636,0,0,0,0,0.01377,0,0,0.00434,0,0,0.18842,0,0,0,0,0.03777,0,0.00033,0,0.80698,0,0.00066,0,0,0.00979,0,0,0,0.01069,0,0,0,0,0,0.02477,0,0,0,0,0,0,0,0
"Cloacibacillus porcorum",0,0,0.00094,4.7034,0,0,0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02668,0,0,0,0,0,0,0,0,0,0
"Clostridiales bacterium 1_7_47FAA",0,0,0.00038,0.0076,0,0,0,0,0,0,0.02025,0.03602,0,0,0.00464,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0.02078,0.15821,0,0.00052,0,0.00891,0.0027,0,0,0.0019,0,0.0038,0,0,0,8e-04,0,0,0,0
"Porphyromonas asaccharolytica",0,0,0,6.13034,0,0.05931,0,0,0,0,0,0,0,0,0,0.47206,0,0,0,0,0,0,2.3171,0,0,0,0,0,0,0,0,0,0.02787,0,0.01512,0.00556,0,0,0.16964,0.01114,0.00993,0,0.00072,0,0,0,0,0,0.21555,10.1372,0.11545,0
"Candidatus Methanomassiliicoccus intestinalis",0,0,0,1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09003,0
"Dorea sp. CAG:317",0,0,0,0.87945,0,0,0,0.05928,0.19287,0,0.51495,0,0.03834,0.34228,0,0.1009,0,0,0,0.07029,0.01672,0,0,0.03663,0.15487,0.01986,0.37104,0,0.04129,0.00736,0.71298,0.32106,0.01903,0,0.10108,0,0,0,0,0,0,0.22195,0,0.03541,0.00904,0,0.64609,0,0.06552,0.01873,0,0.05826
"Enterocloster clostridioformis",0,0,0,0.06149,0,0,0.06366,0,1.182,0,0.02643,0.24762,0.00218,0.0517,0,0,0.01209,0,0,0.69702,0,0,0,0.09883,0.03762,0.01777,0.07703,0.00201,27.21254,0.00592,0.15442,0,0.01805,0.24613,0,0,0,0.0192,0.09983,0.0042,0,0,0,0.04556,0.04976,0,0.54752,0,0,0,0.3442,0.55748
"Dialister micraerophilus",0,0,0,0.04779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01552,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas uenonis",0,0,0,0.03009,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.00731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02782,0,0,0,0,0,0,0,0,0,0.00708,0.05223,0,0
"Flavonifractor sp. An10",0,0,0,0.02218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium perfringens",0,0,0,0.02134,0.0468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054,0,0,0,0.02595,0,0,0,0,0,0,0,0,0,0,0,0
"Criibacterium bergeronii",0,0,0,0.01862,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0,0,0,0,0,0.02305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces oris",0,0,0,0.01625,0,0.00169,0.00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0.001,0,0,0,0.00316,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella adiacens",0,0,0,0.01317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus stomatis",0,0,0,0.0123,0,0.00201,0,0,0,0,0,0,0,0,0,0.02792,0,0,0,0.00318,0,0,0,0.01044,0,0,0,0.27297,0,0,0,0,0,0,0,0.00617,0.04575,0,0,0,0.00988,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter ureolyticus",0,0,0,0.0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02433,0,0,0,0,0,0,0,0,0,0,0,0.00819,0,0,0,0,0,0,0,0,0,0.00322,0,0
"Cellulosilyticum lentocellum",0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12748,0
"Ligilactobacillus salivarius",0,0,0,0.00629,0,0,0,0,0,0,0,0,0,0.00023,0,0.09441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02676,0,0,0,0,0.0031,0,0,0,0,0,0,0
"Peptoniphilus sp. HMSC062D09",0,0,0,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01155,0
"Pseudoflavonifractor sp. An184",0,0,0,0.00297,0.01463,0.01266,0,0.01831,0,0,0,0,0,0,0,0.0067,0,0,0,0.00132,0,0,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173,0.0185,0,0,0,0,0,0.10303,0,0,0,0.01031,0,0.11567,0
"Sellimonas intestinalis",0,0,0,0.00227,0.04536,0,0.04735,0.21742,0,0,0,0,0,0.09165,0,0.49162,0,0,0,0.00884,0,0,0,0,0,0,0,0.05395,0.12835,0.0494,0,0,0,0.09664,0,0.00667,0,0.10184,0.16761,0,0,0,0,0.67246,0,0,0.0199,0,0.01241,0,0,0
"Actinomyces graevenitzii",0,0,0,0.00121,0,0.00473,0,0,0,0,0,0,0,0.00493,0,0,0,0,0.00476,0,0,0.17653,0,0,0,0,0,0.00643,0,0,0,0,0,0,0,0,0,0,0.04454,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] scindens",0,0,0,0.00095,0,0,0,0.0028,0,0,0,0,3e-04,0.00023,0,0,0.00539,0,0,0.00967,0,0,0,0,0.00326,0,0,0,0.04649,0,0,0,0.00191,0.00099,0,0,0,0,0,0,0,0,0,0.00156,0,0,0.00839,0,0,0.00259,0.21912,0.00121
"Streptococcus lutetiensis",0,0,0,0,2.61422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02129,0,0
"Acidaminococcus intestini",0,0,0,0,1.88334,0,2.86971,2.21653,0.03365,0.01198,0,0.05278,0,1.24494,0,0,0,0,0,0,0,0,0.43155,3.80708,0.04439,0,0,0,0,1.68563,0,0,0,9.92582,0,0.1082,0,1.20908,0.01617,0,0,0,0,0,0.00503,0.40704,0,0,0,0,0,0
"Lactiplantibacillus plantarum",0,0,0,0,0.89701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteus mirabilis",0,0,0,0,0.24384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01285,0,0,0,0,0,0,0,0,0.07396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera sp. DISK 18",0,0,0,0,0.04287,0,0,0,0.11187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01299,0,0,0,0,0,0,0,0
"Lactobacillus paragasseri",0,0,0,0,0.03713,0,0,0.01717,0,0,0,0,0,0,0,0,0,0.01606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01147,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus gasseri",0,0,0,0,0.03412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0,0,0,0,0,0,0,0,0
"Limosilactobacillus reuteri",0,0,0,0,0.0325,0,0,0,0,0,0,0,0,0,0,0,0,1.5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158,0,0,0,0,0,0,0,0,0
"Streptococcus thermophilus",0,0,0,0,0.02072,0,0,0,0,0,0,0,0,0.01911,0,0,0,0,0,0,0,0,0,0,0.00274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411,0,0,0,0,0,0,0,0
"Clostridium paraputrificum",0,0,0,0,0.02067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657,0,0,0,0,0,0.00359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917,0,0,0,0,0,0,0,0,0
"Pediococcus acidilactici",0,0,0,0,0.01359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus aureus",0,0,0,0,0.01331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0
"Allisonella histaminiformans",0,0,0,0,0.01243,0,0,0,0,0,0,0,0,0,0,0,0,0.02725,0,0,0,0,0,0,0,0,0,0.00213,0,0,0,0.00345,0.04851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01735,0,0.07699,0
"Paraclostridium bifermentans",0,0,0,0,0.00681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacteriaceae bacterium CHKCI005",0,0,0,0,0.00192,0,0,0,0,0,0,0,0,0.00643,0,0.03299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405,0
"Clostridium baratii",0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactiplantibacillus paraplantarum",0,0,0,0,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus fermentum",0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01988,0,0,0,0,0,0,0,0,0,0,0,0.00213,0,0,0,0,0,0,0,0,0,0.00039,0
"Megasphaera sp. MJR8396C",0,0,0,0,2e-04,0,0,0,0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus mutans",0,0,0,0,0,0.00122,0,0,0,0.00873,0,0,0,0,0,0.00462,0,0,0,0,0,0,0,0,0,0.00477,0,0.00536,0.00308,0,0,0,0.01044,0,0,0.00305,0,0,0,0,0,0,0.00855,0.01674,0.01309,0,0.00859,0,0,0,0,0
"Catenibacterium mitsuokai",0,0,0,0,0,0,0,0,0,0.01102,0,0,0,0,0,0,0,0.01024,0,0,0,0,0.03356,0,0,0,0,0.7725,0,0,0,0,0,0,0,0,1.23162,0,0,0,0,0,0.30907,0,0,0.12557,0,0.06851,0,0,0,0
"Enterococcus faecalis",0,0,0,0,0,0,0,0,0,0,0.00727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849,0,0.05807,0
"Fusobacterium ulcerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08036,0,0,0,0,0,0,0,0,0,0.16606,0,0,0,0,0.01161,0,0,0.05297,0,0,0,0,0,0,0,0,0.00274,0,0,0,0,0.00019,0,0
"Streptococcus sp. F0442",0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0.01398,0,0,0.00119,0,0,0,0,0.00525,0,0,0,0,0,0,0,0
"Gardnerella vaginalis",0,0,0,0,0,0,0,0.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia dentocariosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197,0,0,0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella variicola",0,0,0,0,0,0,0,0,0,0,0.10424,0,0,0,0,0,0,0.32284,1.7864,0,0,0,0,0.02674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01428,0,0.81098,0,0,0,0,0
"Ligilactobacillus animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Gastranaerophilales bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.07698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter koseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella quasipneumoniae",0,0,0,0,0,0,0,0,0,0,0.00245,0,0,0,0,0,0,0.05044,0.92841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38766,0,0,0,0,0
"Faecalicoccus pleomorphus",0,0,0,0,0,0,0.06702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium sp. An131",0,0,0,0,0,0,0,0,0,0.00073,0,0,0,0,0,0.01699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256,0,0,0,0,0,0.00241,0,0.02769,0,0,0,0,0
"Lactobacillus johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella oxytoca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. S6-Spd3",0,0,0,0,0,0.00101,0,0,0,0,0,0,0.00049,0,0,0,0,0.00492,0,0,0,0,0,0,0.0012,0.00042,0,0.03784,0.01727,0,0,0,0,0.04247,0,0,0,0,0.00794,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sharpea azabuensis",0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0.00345,0,0.00078,0,0,0,0
"Prevotella sp. CAG:279",0,0,0,0,0,0.498,0,0,0.17503,1.35409,0,0,0,0,0,0,0,0,0,0,2.07217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83065,0,0,0,0
"Bifidobacterium catenulatum",0,0,0,0,0,0.10347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295,0,0,0,0.02967,0,0
"Ruminococcus sp. CAG:330",0,0,0,0,0,0.10142,0,0,0,0.61318,0,0,0,0,0,0,0,0,0,0,0,0,0.07031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27388,0,0,0,0,0,0,0.26054,0,0,1.2687
"Bacteroides clarus",0,0,0,0,0,0.07834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13688,0,0.00035,1.95027,0,0,0,0.10723,0,0.11264,0,0,0,0,0.11269,0,0.35425,0.10291,0,0,0,0.4714,0,0,0,0.00079,0,0,0,0,0,0
"Parvimonas micra",0,0,0,0,0,0.01223,0,0,0,0,0,0,0,0,0,2.38592,0,0,0,0,0,0,0,0,0,0,0,0.04261,0,0,0,0,0.16124,0,0,0.02839,0,0,0.2331,0.22139,0.00089,0,0,0,0.00103,0.00385,0,0,0,0.09565,0,0
"Alistipes sp. An31A",0,0,0,0,0,0.00594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03921,0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
