"","SKST006_6_G102964","SKST006_7_G102965","SKST006_4_G102962","SKST006_5_G102963","SKST006_2_G102960","SKST006_3_G102961","SKST006_1_G102959","SKST006_9_G103014","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST027_11_G102996","SKST027_12_G103011","SKST027_1_G102984","SKST027_2_G102985","SKST032_1_G102943","SKST032_2_G102946","SKST014_3_G102978","SKST014_2_G102977","SKST014_5_G102980","SKST014_4_G102979","SKST014_7_G102940","SKST014_6_G102951","SKST014_1_G102976","SKST032_4_G103008","SKST032_3_G102989","SKST032_5_G103024","SKST027_10_G102936","SKST025_9_G103021","SKST025_2_G102986","SKST025_1_G102983","SKST025_6_G103010","SKST025_5_G103006","SKST025_4_G102939","SKST025_3_G102942","p8883_mo6","p8646_mo8","p8646_mo9","p8646_mo6","p8646_mo7","p8649_mo11","p8649_mo12","p8649_mo1","p8649_mo10","p8649_mo2","p8649_mo3","p8582_mo5","p8582_mo7","p8582_mo6","p8646_mo3","p8646_mo2","p8646_mo12","p8646_mo11","p8646_mo10","p8646_mo1","p8600_mo9","p8600_mo8","p8646_mo5","p8646_mo4","p8808_mo7","p8808_mo6","p8808_mo9","p8808_mo8","p8808_mo12","p8808_mo11","p8883_mo2","p8808_mo4","p8816_mo10","p8816_mo1","p8883_mo3","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8775_mo7","p8775_mo8","p8775_mo5","p8775_mo6","p8775_mo3","p8775_mo4","p8775_mo12","p8775_mo2","p8775_mo9","p8808_mo10","p8816_mo8","p8816_mo9","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8585_mo9","p8585_mo8","p8585_mo4","p8585_mo3","p8585_mo7","p8585_mo6","p8582_mo9","p8582_mo8","p8585_mo2","p8585_mo1","p8883_mo12","p8883_mo11","p8855_mo3","p8855_mo12","p8855_mo11","p8855_mo10","p8883_mo10","p8855_mo9","p8855_mo8","p8855_mo4","p8808_mo5","p8883_mo9","p9061_mo1","p8883_mo7","p8883_mo8","p8883_mo4","p8582_mo11","p8582_mo10","p8582_mo1","p9061_mo2","p9061_mo3","p8775_mo11","p8775_mo10","p8748_mo6","p8748_mo5","p8748_mo4","p8748_mo12","p8775_mo1","p8748_mo9","p8748_mo8","p8748_mo7","p9193_mo1","p9061_mo8","p9193_mo4","p9193_mo2","p9061_mo5","p9061_mo4","p9061_mo7","p9061_mo6","p9193_mo6","p9193_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8748_mo10","p8748_mo11","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p8649_mo5","p8649_mo4","p8649_mo7","p8649_mo6","p8649_mo9","p8649_mo8","p8712_mo10","p8712_mo1","p8712_mo12","p8712_mo11","p8582_mo4","p8582_mo3","p8582_mo2","p8582_mo12"
"Blautia obeum",0,0,0,0,0,0,0,0,0,0.17971,0,0,0,0,0,0,0,0,0,0,0,0,0.33545,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04459,0.92091,1.14984,1.95827,3.31006,0,0.44245,0.32472,0.53664,0.93397,1.28086,2.61199,1.79476,1.6532,1.41333,3.44304,2.93071,2.40316,3.00979,2.5917,0.02881,0.07146,3.04259,0.38318,23.70572,5.35572,21.36235,13.31545,0,0,2.24568,25.13952,4.19801,0.61706,1.14005,0.02595,0,0.08298,0.11183,0.0594,0.04857,0.02735,0.00055,0,0.01046,0.24401,0.56948,0.81039,0.85594,0.98424,0.83549,0.30917,0.35584,0.38151,9.68729,5.21767,4.50865,4.10632,5.02662,4.42253,4.97556,2.0977,0.4607,1.58764,3.26184,0.53921,0.6086,0.79713,0,1.36059,1.30641,1.17012,1.96841,0.00159,0,0.47682,0.05057,0,0,0,0,6.20881,0,0,0,11.43667,1.96776,0.4762,1.52401,0.77337,1.37048,1.94425,1.25208,2.47801,0.58051,0.66999,1.13011,0.7573,0.92851,0.94707,0.52184,0.17347,1.07864,0.63544,0.35973,0.28309,2.75236,0.25324,0.5229,0.06267,0.2666,0.39609,0.4556,0.52349,0.53516,1.93001,3.22045,2.24466,2.5024,0.75886,0.19172,0.54504,0.73775,0.3364,0.38291,0.41308,1.93263,1.38806,0,0.94458,9.25823,3.99158,3.64876,4.0442,0.94865,0,0.61442,0.28573,0.4021,0.37951,1.14517,0.72112,0.38574,0.92443,0.61811,0.06933,2.00103,2.70126,1.07244
"Anaerostipes hadrus",0,0.02037,0,0,0,0,0,0,0,0.23234,0,0.02957,0,0,0,0,0,0.1914,0,0,0,0,0.93995,0.18975,0,0.139,0.13808,0.00062,0,0,0,0,0,0,0,0,1.06154,3.30012,4.61843,1.37953,3.68479,0,1.79508,3.36476,1.38449,1.99095,1.58056,6.68764,2.69559,6.65295,9.97007,7.89931,1.42211,2.90202,2.47876,37.7415,0.00234,0.00108,4.70287,1.96159,1.047,5.49538,2.11622,1.96618,0,0,1.99366,0,4.59265,2.30217,0.58566,0,0,0,0,0,0,0,0,0.04812,0,1.35255,2.67348,0.64097,1.15576,0.83405,2.06302,1.73935,0.16151,0.94586,0.00993,3.01831,4.2556,3.19121,1.99724,5.3974,1.91633,2.79512,1.20119,1.93327,3.40682,0.46516,0.63729,1.53327,1.91613,1.23861,0.70573,2.74649,1.48348,1.01462,1.25832,0.46087,0.74126,0,0.44928,0.78696,0,3.41525,0,0,0,0,1.19472,0.25715,0.95735,0.51731,1.31872,1.8096,2.47112,2.28563,0.04222,0.61867,1.60663,2.09697,1.29318,2.13713,1.0033,1.58126,0.454,1.4707,0.95837,0.6805,0.86561,0.88419,0.18597,0.47686,0.52008,0.21115,0.27814,0.50793,0.48545,0.41286,2.61967,2.02883,5.16358,2.72329,2.883,2.00196,3.20442,0.16851,1.08744,1.07035,0.79756,0.91094,0,0.61112,0,0,0,0,0,0.00254,0.81592,0.16583,1.83177,0.67483,0.0901,3.37497,2.21273,1.91989,2.63539,0.22669,2.35979,1.70254,3.09154
"Ruminococcus bicirculans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10423,0,0.3066,0.0054,0.10885,0,1.40113,1.82116,1.79761,1.69283,0,0,0,0,0,0,9.27301,7.74816,4.78509,1.44116,0.46086,0.98736,2.06944,2.17032,0.35121,0,0,1.46004,0.66001,0.25527,0,0.02526,1.09267,0,0,0,0,7.27391,3.69872,0,0.55804,0,0,0,0,0,0,0,0,0,0.14945,0.28578,4.51309,6.41537,3.72909,5.48259,0.02198,0.2367,0.03924,0.54322,3.9473,3.12852,0.4238,0.06104,0.55741,6.64452,6.85009,3.24904,1.75548,5.20777,1.17387,0,0,0,0,0,3.4658,8.67746,0,0,0,0.00051,0,0,0,0,2.48263,0,1.6791,0,0,0,0,0,0,0,2.02687,3.27955,2.28351,0,0,0.02353,0,2.27149,0.11611,0.12888,1.36761,0,0.2483,0.29814,0.67872,1.5127,0,2.04741,0.24373,0,0,0,0,2.60283,3.84219,0,0,0,0,0.35742,0.47358,0.2854,0,1.30321,0.23367,1.55132,0.48044,0,0.66633,1.10198,0.49993,0.23991,0.4349,0.35571,0,0,0,0,0,0,0,0.59444,0,0,1.00577,2.59613,5.23644,10.92653
"Blautia wexlerae",0,0,0,0,0,0,0,0,0,0,0,0.60781,0,0,0,0,0,0.02942,0,0,1.76832,0,0,0.17644,0,0.01052,0.16762,0,0,0,18.59932,1.31463,21.77439,0.2816,23.48083,18.50163,4.9965,0.26665,0.01604,0.2223,0.24958,0,0.25956,0.04049,0.13532,0.03921,0.03819,3.95113,1.97454,4.7267,0.58401,0.78689,0.08541,0.11462,0.0786,1.0772,1.66601,2.05955,0.33268,0.51181,1.86,1.96182,3.77182,1.38183,0,0.00028,3.87419,0.42164,0.61615,1.22204,4.00428,1.30755,4.25943,0.9121,1.44793,4.54007,11.92322,1.82665,8.88612,5.24336,1.77986,0.30525,0.94983,0.1867,0.80712,0.18505,0.27248,1.00838,0.06396,0.08743,1.34613,0.3458,0.88289,0.69143,0.67989,1.2018,0.28736,0.63139,1.08772,0.36303,0.35943,0.2587,0.31933,0.48833,2.05082,0.19661,0.18328,2.04794,1.31543,3.46003,0,0.97585,6.29226,0,2.68456,0.00112,0,20.73965,0,14.02582,0,0.88725,8.18473,0.0513,9.45095,1.80597,3.86712,0.83964,0.92173,2.22746,0.09074,0.07434,1.33241,0.48613,0.31934,0.56199,0.08385,0.05036,0.96061,0.45363,0.24159,0.13446,1.79416,0.07983,0.58939,1.31903,0.06144,0.11694,0.09498,0.02682,0.87854,1.04243,0.08306,0.07654,0.192,0.30451,0.81985,0.34216,0.88109,0.03609,0.59117,0.07981,1.10841,0.16279,0,0.49316,0,0,0,0,0,0.04534,0.03586,0.00846,0.02001,0.04721,0.01283,0.26673,0.64115,0.10784,0.26674,0.0114,1.99003,2.16543,1.91864
"Lachnospira eligens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76678,4.22398,0,0.07488,0,0.07297,0,0,0,0,0,0,0,0,0,6.94406,1.57293,0.00114,0.00173,0,0.0571,0.53236,3.37656,0.45909,0.71342,0.51037,0.88363,0.54753,0,0,5.22862,6.31294,2.97653,0,2e-04,0.00054,0.00119,1.13223,4.01898,0.80173,2.63158,15.50948,22.8159,0,0,1.25739,13.39238,8.04347,0,0,0,0,0,0,0,0,0,0.02664,0,2.45728,1.39651,2.37662,1.24673,1.51873,1.67781,9.61012,1.01281,1.76836,8.46452,11.65887,5.52787,10.37726,13.23191,10.23275,15.24829,15.83594,0.66386,13.83712,9.99072,0.03483,0,0,0,1.61477,0.9918,4.96054,1.45313,0,0.00185,0.96581,1.14874,0,0,0,0,0,0,0,0,3.19959,0,0,0,0,0,3.95271,4.39479,2.17936,0,0,6.35152,4.57899,2.95269,0.20699,0.13633,0.76258,0.45225,0.46457,0.41663,0.0268,1.66573,0,0.89099,0.90239,0,0,0,0,0.5353,2.299,2.30174,15.03833,2.95625,2.28534,3.91687,4.25943,2.99398,0.15288,0.39569,0.23855,3.32542,3.83562,0,6.57972,0,0,0,0,0,0,0.24146,0.08649,0.34975,0,0,1.43114,1.25835,2.35645,11.26043,11.91801,4.10161,3.36569,1.64082
"Akkermansia muciniphila",0,0,0,0,0,0,0,0,9.81202,13.3428,0,0.41668,0,0,0,0.4368,0,0,0,0,0,0,0.11495,0,0,6.01435,0,1.27948,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,3.38811,0,0,8.71808,6.35147,5.50366,0.00177,0.00411,0,0,0,0.00473,0.01485,0.00736,9e-05,0.01871,0,0,0,0,0,0,0.13314,0,0,1.38533,1.06939,0,0,0,0.0124,0,0.00913,0.00508,0.04947,0.09027,0.00963,0.93675,0.31558,3.99851,0.55792,0,2.18849,0.08374,0.00089,0.50814,0,0,0,0,0,0,0,0,0,0.00284,0,0.36109,0,0.00191,0.00193,4e-04,0.51819,1.52288,7.17769,0.00426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08985,0.10346,0.10269,4.95333,9.02222,1.99915,0,0,1.00286,0.0939,0,0,0.24156,0.00556,0.00236,0,0.01026,0.03171,0.00292,0,0.00742,0,0,0,0,0,0.03515,0.00333,0,0,0,0,0,0,0.00207,0,0,0.01279,0,0,0,0,0,0,0,0,0,0.00466,0,7.72871,0.00024,1.70204,9.30213,0,0.00898,0,0,1.00653,7.83392,2.11665,2.44846
"Bacteroides eggerthii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59411,0.86561,0.20899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46658,1.67642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83468,1.19563,1.95358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92102,1.94304,2.64244,0.55213
"Bacteroides ovatus",0,0,0,0,0,0,0,0,0.81472,0.76244,0,0,0,0,0,1.37811,0,4.78107,0,0,0,0,0,0,0,3.16701,5.97196,2.81665,0,0.7151,0.49375,0.57891,0,2.79236,0,0.12679,0,0.23338,0.88524,2.62848,1.63292,0.65533,0.98709,4.26346,3.29903,0.54845,0.82385,0.53172,0.59193,0.6673,0.76807,0.31042,1.29116,0.45271,1.78491,0.56611,0.00435,0.0025,2.11812,3.73903,0,0,0,0,0,0,0,0,0.00027,0.00283,0,0,0,0,0,0,0,0,0,0.12217,0,1.69464,0.72387,0,1.50322,0,0,4.85934,0.00268,1.21856,0,0.00043,0,0,0.00081,0.00088,0.00171,0.00091,0,0.00526,0.00036,0.67481,0.76337,0.1461,0.02468,1.09686,2.201,1.68831,1.30407,0.19461,0.08802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40333,1.79217,1.59515,0.01304,0.0347,2.77027,2.72214,0.04721,0.28748,0.14926,0.44653,0.00395,0.04028,0.08024,0.28186,0.15577,0,0.21228,0.80925,0.00519,0,0.00419,0,0.06216,0.0307,1.28525,9.19654,2.60931,1.03218,4.32459,7.3156,1.44008,3.08615,0.18276,0.59029,0.39694,0.10914,0,0.09391,0.27891,0.20567,0.31358,0.25538,0.24582,0,2.01267,5.82689,1.3144,2.84686,1.13936,2.99654,3.70706,3.5177,1.26244,1.6223,0.92652,1.29837,1.49981
"Bacteroides faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49865,2.37764,5.30969,1.45293,3.18005,1.61764,0.62387,0.72119,0.18957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0,0,0,0,0,0,0,1.75627,1.67893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34835,1.45655,1.45458,0,0,0,0,0,0,0,0,0.00098,0,0,0,2.46332,0,1.71475,2.84025,0,0,0,0,1.5367,1.62266,0,0,0,0,0,0,0,0,0,0,1.12762,0,0,0,0,0,0,0,0,0,2.33425,1.80783,1.2368,1.89621,7.97167,0,0,0,0,2.6058,0.47465,0.70179,0.93564
"Eubacterium sp. CAG:180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11381,0,9.76994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47373,0,0,0,0,0,0,0,0,0,0,0,1.58104,2.59564,0,0.15659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93889,0,5.72172,4.16839,0,0,1.01766,0
"Dorea formicigenerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95604,0.04642,0,0,0,0,0,0,0,0,0.05365,0,0,0,0,0,0,0,0,0,0,0.34727,0,0.46165,0,0,1.06149,0.49703,0.81404,1.28164,0.61548,1.4184,0.96618,2.8766,0.362,0.28567,0,0,0,0.38894,0,0,0.44036,0.49206,0,0,0,0,0,0,0,0,0.61903,0.52397,0,0,0,0,0,0,0,0,0,0,0,0.29989,0.34205,0.47609,0.37237,0.43654,0.61612,0.24285,0.42168,0.36839,0,0.54002,0.54907,0.23459,0.50017,0.66179,0.78869,0.2799,0.43536,0.34879,0.47496,0.0599,0.20561,0,0,0.14961,0.2122,0.51299,1.41734,0,0,0,0,0,0.01348,0,0,0,0,0,0,0,0,0.3495,0,0,0,0.58062,0.58929,1.42116,0.38555,0.30487,0.40479,0.2612,0.44305,0.35328,0.29651,0.41513,0.88308,0.69069,0.83363,0.2925,0.14119,0.2174,0.06296,0.00892,0.22949,0.30467,0.48605,0.28104,0.16125,0.21774,0,0.27753,0.59408,0.18104,0.33079,0.19176,1.23624,0,0.58019,0.60057,0.45977,0.2367,0,0.20122,0.47264,0.53809,0.16183,0.15925,0.09065,0,0.52471,0.11128,0.58802,0.37131,0.07701,0.40407,0.47094,0.23917,0.19685,0.05957,1.62417,0.9404,0.86732
"Roseburia inulinivorans",0,0,0,0,0,0,0,0,0.00699,11.92873,0,0,0,0,0,0,0,0,0,0,0,0,0.04737,4.4679,0,0.01863,0,0.76456,0,0,0,0,0,0,0,0,0.04646,3.48158,0.18558,0.28523,5.66929,0,0,0,0,0,0,0.22523,0.10964,0.7072,1.02162,0.36349,0.49027,1.9335,1.07354,0.16551,2.54756,2.16326,0.45335,1.67888,0,0,0.75329,0.75413,0,0,1.35507,0,5.3385,0.59154,0.03445,9.93891,0.82928,2.52313,0.75886,9.68168,0.93989,1.63262,1.39093,3.34988,0.94078,2.36237,0.17625,0.40891,0.01196,0.87601,0.00251,0,1.13606,0.07825,8.03457,4.53198,0.4065,1.47061,1.77583,0.34315,4.56553,0.73343,0.00575,2.91008,1.0021,0.14182,0.28543,1.04471,0,0.82729,1.00424,1.03519,0.05419,0,0,0.39787,5.78856,0,0,0,0,2.36199,0,0,0,0,0.59863,3.47543,0.08829,0.08313,0.03632,0.14394,0.01769,1.36282,0.18997,1.8676,0,0.01819,0.6869,1.01814,0.72477,0.69587,0.08471,1.83144,2.80352,0.21321,0.11636,1.48803,0.31586,0.02369,0.70767,0.1324,2.78682,0.92022,0.40224,0.08618,0.01606,0.05027,0.07743,0.09176,1.26636,0.39026,1.20535,0,3.0139,0.83612,1.01966,2.49816,0,0.7461,0,0,0,0,0,0,0,0,0,0,0,0.25107,1.69432,0.76868,0.67574,0.5495,0.0087,0.87574,0.05576
"Parasutterella excrementihominis",0,0,0,0,0,0,0,0,1.84596,0.9186,0,0,0,0,1.95005,1.30374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12461,0.3183,0.53475,0,0.22679,0,0.46226,0.17107,5.58768,0.99914,2.28327,1.20239,0,0.00718,0,0.02393,0,0,0.15749,1.25196,0.39682,0.29193,0.00907,1.84838,1.57084,3.6924,0.10448,0,0,1.93826,0.54803,0,0,0,0,0,0,0.2528,0,0,0,0.15229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44304,0,0.72815,0,0,0,0,0,0,0,0,1.30858,0.00036,0,0.00214,0.00189,0,0,0.00694,0.0171,1.6299,2.21329,0,0,0.20541,0.29196,0,0.81968,0.97943,0.41176,0.05737,0.89976,0.4375,0,0,0.0903,0,0.27651,0.36297,0.04837,1.13246,2.2927,1.29845,0,0,0.19376,0.67418,0.93723,0.76872,0.98852,0.70482,0,0.68657,1.25845,1.09719,1.90716,0,1.23327,1.10779,0,0,0,0,1.35597,0.53326,0.61774,0.80974,0.46684,0.5847,0.29712,1.09756,2.68926,0.63961,0.95078,0.65919,1.1624,1.31493,0,1.41803,0.88569,1.86932,1.01034,1.38908,2.37298,0,0,0,0,0.00341,0,0.39897,0.5234,0.59786,0.11279,4.32062,2.25869,1.59018,1.86343
"Bacteroides xylanisolvens",0,0,0,0,0,0,0,0,1.28516,2.59152,0,0,0,0,0.25751,0.17211,0,0,0,0,0,0,0.07584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0.01672,1.92085,0.02453,0.05052,0.01727,0.01748,0.21906,0.28967,0,0,0,0,9e-04,0,4.3354,2.59856,0,0.3765,0,0,0,0,0,0,0,0,0.30044,0.71334,0,10.17571,2.79288,3.96705,2.994,5.40341,0.14293,2.71878,3.40659,1.93807,2.11714,3.98551,1.88151,0.64342,3.34853,2.02673,1.55138,4.36331,5.73993,4.72849,0,0.83182,0.48864,0.09145,0.13305,0.00918,0.73312,0.65367,0.38745,0.33539,0.19677,0,0,0,0,0.00033,0.0011,0.11551,0.28505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16813,0,0,0,0.23782,0.03158,1.14018,0.14057,0.80323,2.31046,1.91464,0.09575,0.19449,0.64645,0.39917,5.6647,0.39838,0.19912,0.35138,0,0.15937,0,0,0.15423,0.10831,0.21391,1.02971,0,0,0,0,0,0,0.00021,0,0,0,0.82508,0.76627,0,0.0624,0,0,0.05396,0.00082,0.00138,0.09629,0.02817,0,0.05712,0.00506,1.20918,0.00433,0.07124,0,0.37696,0,0,0.14616,0.07242,0.9183,0.04154
"Bacteroides caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04053,13.83943,0,0,0,0,0,0,0,4.62429,12.3262,5.40743,0,0,0,0,0,0,0,0,0,1.42326,4.7734,4.99233,0.68538,0,0,0.00563,0,0.00423,0.00538,0.77816,1.05315,0.69853,0.57468,0.36724,4.39356,3.05272,3.06796,0.95983,0.00061,0.00155,1.92584,1.11316,0,0,0,0,0.00117,0,0,0,1.14828,0.4475,0,0,0,0,0,0,0,0,0,0.03292,0,0,0,0,0,0,0,0,0.00038,0,0,1.32335,1.3358,0.86917,1.53392,0.48143,0.5084,1.46774,2.4607,0.69391,0.92905,0.70728,0.99129,0.72119,0.14157,1.17712,2.06727,2.23275,3.0666,2.40641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70884,1.80326,0.98288,0,0,0,0,0,0,0,0,0.00109,0.00138,0,0,0,0,0,0.00051,0,0,0,0,0,0,1.73003,6.4141,2.57082,0.442,2.90463,5.32493,7.12038,9.82267,0,0,0,3.87757,0,3.14657,4.90339,18.59144,9.19218,9.9181,11.07821,0,0.00446,0.00055,0.00104,0,0,1.8542,1.20529,2.4809,3.69684,3.33897,1.06039,0.69118,1.21949
"Parabacteroides distasonis",0,0,0,0,0,0,0,0,2.39636,2.34329,0,0,0,0,0.40277,2.5317,0,17.11822,0,0,0,0,0,0,0,4.05294,7.20502,1.94304,0,6.05488,1.68905,4.0449,0,4.35734,0,0.74092,7.95507,0,0,0.00338,0.00246,1.89805,0.9405,1.37214,1.47253,0.66967,1.2314,0.33429,0.43036,0.16059,0,0,1.1865,3.7767,1.72625,0,0.00411,0.00173,0.00248,0,0,0,0,0,0,0.00082,8.12724,0,0.81398,0.41501,9.98754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74041,0.00292,0,0,1.93137,1.62188,0.94253,1.93211,0.58339,1.22362,1.04638,1.1017,1.03559,1.01601,0.72196,0.90476,0.17703,0.16378,0.79937,3.217,0.45345,0.76073,0.8414,0,13.63556,13.00404,0,0,0,0,3.80522,0,0,0,0,8.4683,0.74393,9.54275,13.59516,11.96244,4.61304,0.77243,0.96634,0.32541,0.28456,0.24108,0.00088,0.48899,0.63797,1.20898,3.86311,0.00285,2.06533,1.90243,2.60069,1.44855,0.07747,2.03896,6.06731,0.03914,0.12331,0.26905,0.99464,1.02922,1.75597,0,0,0,0,0.00066,0.00118,0.00115,0,1.28467,6.2751,1.02552,2.19906,0,2.56387,2.37824,4.05256,3.6464,5.89321,3.11478,0,1.74327,0.93197,2.2246,1.10128,3.99265,0,0,0,0,1.19,0.13839,0.41566,1.27191
"Collinsella aerofaciens",0,0,0,0,0,0,0,0,0.31234,0.3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00676,0.00654,0.03892,4.72196,3.55976,3.50162,8.62032,5.48002,2.77958,2.6238,3.27785,0,0,0.00096,0,0,0,0.00428,0.00172,0.00109,0.00182,0.00192,0,0,0.00118,0,0,0.00072,0,0.4239,0.68527,0,0,0,0,0,0,0,0,0,0,0,0.75124,1.81691,2.93498,2.42066,1.36111,2.69587,0.72738,1.72544,0.75696,0,0.47813,0.91406,0.81206,0.93041,2.77434,2.32961,1.70212,0.8407,0.59794,0.54237,1.01879,0.02596,0.00908,0.00406,0.03025,0.00946,1.06569,0.90584,0.01095,0,0,0,0.00191,12.62644,5.71492,0,0,0,0,0.00094,0.01662,0,0.65515,0.00771,0,0,0.57154,0.77804,0.80157,2.12016,0.54365,0.62809,2.55802,2.8433,6.01219,2.0606,1.40906,6.36493,1.31481,1.99057,1.7095,0,1.23186,0.00135,0,0.75784,1.34211,0.76876,0.35578,0,0.00323,4.91638,1.93189,3.3568,2.73079,0.01362,0.00301,2.68267,0.16632,1.36914,1.53268,0,0,0,0.00153,0.00203,0,0,0,0,0,4.64384,8.9719,6.94064,9.28192,6.4487,1.89686,0,3.06418,0.35418,0.49225,1.43539,1.74871,0.73384
"Clostridium sp. CAG:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01679,0,0,0,0,0,0,0,0,0,0,0.47484,0.2986,0.36243,0,0,0,0,0,0,1.07745,1.14661,0,0.28533,0.82943,1.33709,0.83574,1.65499,0,0,0.04764,0,0.04719,0.14033,0.0321,0,0.60221,0.20435,0.14251,0,0.80939,1.89826,0.58913,1.29725,0.926,0.0701,0.00571,0.07835,0.05247,0.05896,0.07322,0.01898,0.16588,0.03499,1.9608,0.00606,0.02823,0.01747,0.00518,0.01257,0.02288,0.01747,0.04076,0.06631,0.05017,0.24182,0.24533,0,0,0.52386,1.12431,0.44331,0.49177,0,0,0.19292,0.044,0,0,0,0,0.12341,0,0,0,0,0.00488,0,0.0415,0.0834,0,0.09519,0.33258,0.73114,0,0,0,0,0.0192,0.00307,0.02209,0,0.23963,0.1518,0,0.03083,0.10466,0,0.08437,0.12129,0,0,0,0,0.3991,0.24226,0.29392,0.31646,0.20329,0.09365,0.1443,0.1696,1.27333,0.12701,0.0503,0,0.31104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18141,0.24935,0.14418,0.0736,0.12513,0.70516,0.47452,0.21371
