"","CCIS02379307ST-4-0","CCIS06260551ST-3-0","CCIS11015875ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS17669415ST-4-0","CCIS21278152ST-4-0","CCIS22416007ST-4-0","CCIS22958137ST-20-0","CCIS24254057ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS35100175ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS44757994ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS48725289ST-4-0","CCIS50148151ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS55230578ST-4-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS65479369ST-4-0","CCIS71301801ST-4-0","CCIS72607085ST-4-0","CCIS76845094ST-20-0","CCIS77252613ST-4-0","CCIS78318719ST-4-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87605453ST-4-0","CCIS91228662ST-4-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0"
"Fusobacterium sp. oral taxon 370",0.01717,0,0,0,0,0.01481,0,0.0293,0,0,0.00158,0,0.59717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0.12547,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter segnis",0.00972,0,0,0,0,0.00918,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus harei",0.00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus cateniformis",0.00318,0,0,0,0,0.02087,0,0.01887,0,0,0,0,1.27377,0,0,0,0,0.02244,0.14184,0,0,1.50256,0,0,0,0,0,0,0.15379,0,0,0,0,0,0,0,0,0,0,0.26937,0,0.00067,0.00918,0,0,0,0,0,0,0,0,0,0
"Bacteroides eggerthii",0,0,0,0,0.10058,0,0,0.00316,0,2.96063,0.79703,0,0,0.03105,0,1.54693,0.01596,0,0,3.19342,0,0,0.0228,0,0,0.07303,0,0,0,0,0,0,0,0,6.68028,0,0,0,0,0,0,0,0,0,0,0,0.67263,0,14.62349,0,0.00939,0.62303,0
"Streptococcus mutans",0,0,0,0,0.00082,0,0,0.11735,5e-04,0,0.07402,0,0,0.00858,0,0,0,0.01313,0,0,0,0,0,0.09092,0.00279,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0.02477,0,0,0,0,0,0,0,0.52749,0,0,0,0,0,0
"Paraprevotella xylaniphila",0,0,0.14675,0,0,0,0,0.11328,0.28416,0,0.13161,0.03347,0,0.18413,0,0.0476,0.11445,0,0,0.38028,0.02143,0,0,0,0,0.14281,0,0.33471,0,0,0.04328,0.00465,0.15937,0,0.48945,0,0,0,0,0.12393,0.07917,0.26203,0,0,0,0,0,0,0.01256,0.948,0,0.01959,0
"Bacteroides fluxus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium breve",0,0,0,0,0,0,0,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus gordonii",0,0,0,0,0.00688,0.01854,0,0.58156,0,0,0.00372,0,0.06942,0,0.64807,0.00157,0.033,0,0.01273,0,0,0.06272,0,0,0.14747,0,0,0,0,0.0873,0,0.02814,0,0,0,0,0,0,0,0.00104,0,0,0.02365,0,0,0,0.03271,0,0,0,0.0068,0,0
"Desulfovibrio piger",0,0.0413,0,0,0,0,0,0,0.22403,0,0.28879,0,0.17109,1.701,0.2385,0.42314,0.0272,0,0,0,0,0,0,0,0.06572,0,0.00113,0.32943,0,0.03339,0.1549,0.02887,0.26303,0,0.65348,0,0,0,0,0,0,0,0,0.01516,0.22764,0,1.6234,16.13231,1.38208,0.46502,2.08362,0.36783,0
"Erysipelatoclostridium ramosum",0,0.34472,0,0,0.02874,0.00558,1.36042,0.05673,0,0.03991,0,0,0,0.0029,0.10377,0,0.07974,0,0.21539,0.00219,0,0,0,0,0,0.0119,0.02796,0,0,0,0,0.02112,0.03758,0.01008,0.10062,0,0.00329,1.34748,0.01133,0.00716,0,0,0.00097,0,0,0.25765,0,0,0.00513,0,0,0,0
"Blautia sp. CAG:257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493,0,0,0,0.20597,0,0,0,0,0,0,0,0.16645,0,0,0,0,0,0,0,0.30776,0,0.0604,2.90961,0,0,0,0,0,0,0,0,0,0,0.52929,0,0,0,0
"Clostridium paraputrificum",0,0.00062,0,0,0,0,0.098,0,0,0,0,0,0.00022,0,0,0,0.00266,0,0,0,0,0.03646,0,0,0.00449,0,0,0,0.03145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terrisporobacter othiniensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,0,0,0
"Leuconostoc pseudomesenteroides",0,0,0,0,0,0,0,0,0,0,0.00486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05617,0,0,0,0,0,0
"Paraprevotella clara",0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0.01032,0,0.00599,0,0,0,0.0615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34598,0,0,0,0,0.00018,0.00048,0,0,0,0,0,0,0,0,7e-04,0,0.00555,0
"Coprococcus eutactus",0,0,0.18814,0.13403,0,0.65428,0,0.00145,0.38088,0,0.19966,0,1.9653,0.02568,0.10998,0.21464,0,0.00805,0,0,0.03357,1.31591,0,2.37886,0.70511,0,0.00848,1.77018,0.54821,0,0,1.08579,0.00392,0,0,0,0,0,0,2.49422,0,0,0,0.00324,0,0,0,0,0,0,0,6.91211,1.83692
"Enterocloster lavalensis",0,0,0.01587,0,0,0.04867,0,0,0.0014,0,0.01322,0.6291,0.01972,0.00214,0.00232,0,0,0,0.93899,0.02832,0.01722,0,0,0,0,0.04795,0.01364,0,0,0,0,0,0,0.00111,0.00674,0,0.00027,0,0,0,0.01608,0.00209,0,0.00287,0,0.01867,0,7e-04,0.02236,0,0.00958,0.01855,0
"Bifidobacterium dentium",0,0.07279,0,0,0.01052,0,0.37266,0.0301,0.00321,0,0,0.02402,0,0.02239,0.07364,0.22659,0,0,0.30958,0.00538,0.01757,0,0,0.00773,0.01777,0.00236,0.25993,0,0,0.02769,0,0,0,0,0,0,0,0,0,0,0.18451,0,0,0,0,0.02183,0,0,0.04733,0,0,0,0.00224
"Clostridium celatum",0,0.16375,0,0,0,0,0,0,0,0,0,0,0,0,0.22978,0.007,0,0,0,0,0,0,0,0,0.24581,0,0,0,0.00261,0,0,0,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia dentocariosa",0,0.01496,0,0,0,0,0,0.00482,0,0,0,0,0,0.00189,0.00262,0.00016,0,0,0,0,0,0,0,0,0,0.00491,0,0,0,0.00551,0,0.01217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179,0,0,0,0,0,0
"Lactobacillus gasseri",0,0,0,0,0,0,0,0.02712,0,0,0,0,0,0.06364,0.04649,0,0.03685,0,0,0,0,0,0,0,0,0,0,0,0.01912,0,0,0,0,0,0,0,0,0,0.07876,0,0,0,0,0,0,0,0,0,0,0,0.20168,0,0
"Streptococcus cristatus",0,0,0,0,0,0,0,0.00769,0,0,0,0,0,0,0.01812,0,0.00588,0,0.00689,0,0,0,0,0,0,0,0,0,0,0,0,0.04561,0,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0
"Hafnia alvei",0,0,0,0,0,0,2.87705,0.16998,2.75164,0,0.11039,0,0,0,0,0.00627,0,0,0,0,0,0,0,0.01434,0,0,0,0,0,0.38078,0,0,0,0.00273,0,0,0,0,0,0.31099,0.07583,0,0,0,0,0,0,0,0,0.00166,0,0,0
"Granulicatella adiacens",0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0.01728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331,0
"Streptococcus oralis",0,0.29455,0,0,0.00428,0.25422,0.00367,0.16476,0,0,0.00379,0.00717,0,0.0732,0.81711,0.02141,0.05582,0.00475,0,0,0,0.01218,0,0,0.08945,0.01704,0,0,0,0.29208,0,0.0758,0.0811,0,0,0.01346,0,0,1.1563,0.00914,0,0.00207,0.0169,0,0,0,0.03786,0,0.10294,4e-04,0.00365,0,0.01387
"Murimonas intestini",0,0,0,0,0,0,0,0,0,0,0,0.42866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latilactobacillus sakei",0,0,0,0,0.01633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0,0,0,0,0,0,0.00043,0,0.00738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia denticolens",0,0,0,0,0,0,0,0.0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. oral taxon 180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romboutsia ilealis",0,0.01286,0,0,0.02075,0,0.00596,0.01629,0,0,0,0,0.01319,0,0,0.00687,0,0.00582,0,0,0,0,0,0.00173,0.0141,0,0,0.00383,0.01115,0.00931,0,0,0,0.00153,0,0,0,0,0,0.00088,0,0.00857,0.00949,0,0,0,0,0,0,0,0,0,0
"Eubacterium sp. CAG:274",0,0,0,0,0,0,0,0.56751,0,0,1.07295,0,0,0,0,0,0,0.69512,0,0,0,0,0.02004,2.32371,0,0,0.00156,0,0,0,0.01764,0,0,0,0,0,0.00828,0.00035,0,0,0.10479,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:413",0,0,1.91096,0,0,0,0,0,0,0,0,0,0,0,0,0.01266,0,0,0,0,1.89504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20966
"Bacteroides stercoris",0,0,0.01153,0,0,10.2145,0,0.63909,0,0,0,0,0.0144,0.09592,0,0.03517,5.59672,0,0,0,0.07972,0,0,3.2192,0,0,0.01161,1.00697,1.68222,0.06889,0,0.02143,0.58114,0,4.50815,0.50181,0,0.02285,0,0.00561,0.23197,0,0,0,0,0,0,0,2.26984,0.51667,2.47695,4.64254,0
"Bacteroides sp. CAG:443",0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0.3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus faecium",0,0,0,0,0,0,0,0,0.0052,0,0,0.15628,0,0.01977,0,0.00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02665,0,0,6.934,0.03137,0,0,0,5.73981,0,0.12746,0.02028,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter sanguinis",0,0,0,0,0.11223,0,0.07249,0.01139,0.02699,0,0,0,0,0,0.13688,0.07661,0,0,0,0,0,0.06049,0,0,0.08775,0,0.00816,0.69486,0.19916,0,0,0.001,0.1032,0.00194,0,0,0,0,0.00058,0.00193,0.16081,0.00438,0,0,0,0,0,0,0,0,0,0,0.02364
"Enterococcus gallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:403",0,0,0,0,0,0,0,0,0,0,0,0.0508,0,0.00028,0.39856,0,0,0,0,0,0.01862,0,0,0.04939,0,0,0,0,0,0,0,0,0,0.03285,0,0,0,0,0,0,0.15263,0,0,0.57703,0,0,0,0,0,0,0,0,0
"Enterococcus gilvus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus malodoratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides justesenii",0,0,0.02546,0,0,0,0,0,0,0.0161,0,0,0.01083,0,0.17972,0.019,0,0,0,0,0,0,0,0,0,0,0,0.00615,0,0,0,0,0,0,0.04426,0,0,0,0,0,0,0,0,0,0,0,0.07429,0,0,0,0.00495,0.00419,0
"Coprobacter secundus",0,0,0.00342,0.25256,0.5054,0.00626,0,0.02009,0.00585,0.12854,0.03359,0,0,0,0.04748,0.01023,0,0,0,0,0,0,0,0,0.0117,0,0.07101,0.08496,0.16715,0.14747,0,0,0.1194,0.00884,0,0,0,0,0,0.25351,0,0,0,0,0,0,0,0,0,0,0.1017,0,0.08091
"Eubacterium sp. OM08-24",0,0,0,0,0,0,0,0,0.00067,0,0,0,0,0,0,0,0.06361,0,0,0,0,0,0,0,0,0,0,0.00327,0,0,0,0.16049,0,0,0.15553,0,0.04255,0,0,0,0,0.00377,0,0,0,0,0,0,0,0,0,0.01427,0.30018
"Victivallis vadensis",0,0,0,0,0,0,0,0,0,0,0.00266,0,0.02876,0,0.00299,0.00123,0,0,0,0.00086,0.03313,0,0,0,0,0,0.02086,0.2253,0,0,0,0,0,0.00145,0,0,0,0,0,0.00381,0,0,0,0,0.01633,0,0,0,0,0,0,0.04887,0.01423
"Gemella haemolysans",0,0,0,0,0,0.00516,0,0.03686,0,0,0.00321,0,0.01069,0.00429,0.00599,0.00144,0.00437,0,0,0,0,0.00976,0,0,0,0,0,0,0,0.01394,0.02049,0,0.01074,0,0,0.01169,0,0,0.0013,0.00342,0,0.00143,0.01369,0,0,0,0.01466,0,0,0,0,0,0
"Corynebacterium casei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus pseudoavium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia omnicolens",0,0,0,0,0,0,0,0.01943,0,0,0,0.00412,0,0.01096,0.03642,0,0,0.00097,0.00123,0,0,0,0,0,0,0,0.02066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacterium divergens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. HPA0247",0,0,0,0,0,0,0,0.08762,0.00308,0.00167,0.00041,0,0,0.00258,0.00901,0,0,0,0.00343,0,0,0,0,0,0,0,0,0,0,0,0.00426,0,0,0,0,0,0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacterium maltaromaticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces naeslundii",0,0,0,0,0.00202,0,0,0,0,0,0,0.003,0.00755,0,0.00418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205,0,0,0.00035,0,0,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0
"Leuconostoc carnosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor sp. An100",0,0,0.00592,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0.00492
"Staphylococcus equorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064
"Butyrivibrio sp. CAG:318",0,1.13099,0,0,0,0,0,2.22778,1.6924,0,3.14551,0,0,0,0,5.43711,0,0,0,1.77025,0,0,0,0,0,0,0.01012,0.01894,0,0,0,2.48856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
"Prevotella sp. CAG:520",0,0,0,0,0,0,0,0,1.1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90646,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:488",0,0,0,0,0,0,0,0,0.52074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02026,0.96499
"Prevotella sp. AM42-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849,0,0,0,0,0,0.24235,0,0,0,0,0,0,5.33035,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella stercorea",0,0,0,0,0,0,0,0,0.0618,0,0,0,0,0,0,0,0,0,0,0,1.04282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34963,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:253",0,0,0.01396,0,0,0,0,0,0,0,0.22161,0,0,0,0.21067,0.03855,0,0,0,0.05804,0,0,0,0.29447,0.03498,0,0,0,0,0,0,0,0,0.04303,0,0,0,0,0,0,0,1.25427,0,0,0,0,0,0,0,0,0,0,0
"Megamonas hypermegale",0,0,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26722,0,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25865,0,0,0.00254,0.78307,0,0
"Holdemanella biformis",0,0,0,0,0,0.65991,0,0,0.11232,0,0.27926,0,0.3646,0.0482,0.07573,0,0,0,0,0,0,0,0,0,0,0,0.00709,0.29788,0,0,0.1264,0,0.58903,0,0,0.54864,2.27149,0,0,0.15978,0,3.82055,0,0,0.10469,0,2.76544,0,0.004,0.0565,0.41924,0,0
"Ligilactobacillus ruminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus obeum CAG:39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03472,0.00939,0,0.05206,0,0,0,0.00965,0,0,0,0.00694,0,0,0,0,0,0,0,0,0.45447,0,0,0,0,0,0
"Ruminococcus sp. CAG:563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05292,0,0,0,0,0,0,0,0.00358
"Megamonas funiformis",0,0,0,0,0,0,0,0.00501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0.01807,0,0
"[Eubacterium] infirmum",0,0,0,0,0.00037,0.15138,0,0.00462,0.03278,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0.00371,0.0014,0,0,0,0,0,0,0,0,0,0
"Abiotrophia defectiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium timidum",0,0,0,0,0,0,0,0.01108,0.03135,0,0.01841,0.00076,0,0.00589,0,0.02048,0,0.005,0.00136,0,0,0,0,0,0,0.00599,0,0,0,0,0,0.01071,0,0,0,0,0,0,0,0,0,0,0.01983,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] nodatum",0,0,0,0,0,0,0,0.00525,0,0,0,0,0,0,0,0.00887,0,0,0,0,0,0,0,0,0,0,0,0,0.00358,0,0,0.00626,0,0,0,0,0,0,0,0,0,0,0.00749,0,0,0,0,0,0,0,0,0,0
"Eubacterium sp. CAG:786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella sp. CAG:1031",0,0,0,0,0,0,0,0,0.08935,0,0,0,0.01662,0,0,0.62095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09108,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28048,0.07886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37041,0,0,0,0,0,0
"Aeriscardovia aeriphila",0,0,0,0,0,0,0,0,0,0.00184,0,0,0,0,0,0,0,0,0.0081,0.00365,0,0,0,0.00495,0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0.00219,0,0,0,0,0,0,0,0,0,0
"Streptococcus sp. F0442",0,0,0,0,0,0,0,0.05601,0,0,0,0,0,0,0.03368,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0.00214,0,0,0,0,0,0,0,0.00163,0,0,0,0,0,0,0,0,0,0,0.01973,0,0
"Cloacibacillus porcorum",0,1.98901,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0.05257,0,0,0,0,0.1405,0,0,0,0,0,0,0,0.11771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47761,4.10759,0,0,0,0,0
"Alistipes sp. CAG:831",0,1.24886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0,0,0,0,0,0,0,0,0,0.00355,0,0,0,0,0,0,0,0,0
"Citrobacter freundii",0,1.24569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185,0,0,0,2.99982,0,0,0,0,0,0,0,0,0,0,0,0.00346,0.01623,0,0
"Clostridium sp. 7_2_43FAA",0,0.56948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraclostridium bifermentans",0,0.48354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter youngae",0,0.41369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414,0,0,0,1.06253,0,0,0,0.26307,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides sp. CAG:409",0,0.28471,0,0,0,0,0,0,0,0,0.01794,0,0,0.023,0,1.46091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03767,2.29482,0,3.01713,0,0,0,0,0,0,0,0.22278,0
"Lactococcus lactis",0,0.10334,0,0.16454,0.01135,0.06073,0.01962,0.06774,0.34448,0,0,0,0.06414,0.47877,0,0,0,0.00437,0,0,0,0.99512,0,0,0.02582,0,0.00595,0,0.00236,0.22313,0,0.01196,0,0.08153,0.05488,0,0,0.75244,0,0.00711,0,0,0,0,0.01394,0,0,0,0,0.39855,0,0.93551,0
"Paeniclostridium sordellii",0,0.09093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides gordonii",0,0.06816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium sp. An298",0,0.05083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium sp. An131",0,0.04963,0,0,0.11761,0,0,0,0,0.01502,0,0,0,0,0,0.03458,0,0,0,0,0,1.03703,0,0.01385,0,0,0,0,0.02611,0,0,0,0,0.01094,0.00367,0,0,0,0,0,0,0.00109,0,0.00939,0,0,0,0,0,0,0,0,0
"Clostridium perfringens",0,0.02897,0,0,0,0,0,0,0,0,0,0,0,0.0841,0.00363,0,0.80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50316,0,0,0,0,0,0,0,0,0,0.0388,0,0,0,0,0,0,0,0,0,0
"[Clostridium] hylemonae",0,0.02689,0,0,0,0,0,0,0,0,0,0.65663,0.00971,0,0,0,0,0,0,0,0,0.01178,0,0,0,0,0.00118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01311,0,0,0,0,0,0,0.00049,0,0,0.00327,0
