"","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","CCMD19168690ST-11-0","CCMD21593359ST-11-0","CCMD21703880ST-11-0","CCMD27463710ST-11-0","CCMD35633353ST-11-0","CCMD42956136ST-11-0","CCMD49461418ST-11-0","CCMD52117727ST-11-0","CCMD52145360ST-11-0","CCMD59583015ST-11-0","CCMD65222621ST-11-0","CCMD65406197ST-11-0","CCMD71242853ST-11-0","CCMD71915439ST-11-0","CCMD72690923ST-11-0","CCMD76222476ST-11-0","CCMD79349503ST-11-0","CCMD89306485ST-11-0","CCMD92404903ST-11-0","CCMD95431029ST-11-0","CCMD95676152ST-11-0","CCMD98531134ST-11-0"
"Porphyromonas uenonis",0.00126,0,0,0,0,0.00079,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0.04074,0,0,0,0.00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02193,0,0.01263,0,0,0,0,0,0.00541,0,0,13.16479,0.00521,0,0,0.00957,0,0.01534,0.00923,0
"Phocaeicola coprocola",0.00119,0,0,0,0,0.87095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85953,0.31451,0,0,0,0,0,0,0,0,1.2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58893,0,0,0,0,0,0
"Gemella asaccharolytica",0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. HMSC035G02",0.00099,0,0.00058,0,0,0,0.00483,0,0,0,0,0,0,0,0,0.00139,0,0,0.00057,0.00112,0,0,0,0,0,0,0,0.00324,0,0,0,0,0,0.00873,0,0,0,0,0,0,0,0.01028,0,0.00063,0.00111,0.00671,0,0,0,0,0,0,0.00429,0,0,0.01918,0,0,0,0
"Campylobacter showae",0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea sp. CAG:317",0,0.62836,0.78389,0,0.11379,0,0,0,0,0,0.05365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12721,0,0,0.00287,0,0,0,0,0,0.12125,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0.11025,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium sp. CAG:439",0,0.41036,0.49788,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51978,0,0,0,0,0,0,0,0,0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] spiroforme",0,0.33024,0.04578,0,0,0,0,0.0056,0.01826,0.06606,0,0,0,0.26609,0.11601,0.01259,0,0.15097,0,0.07962,0,0.00658,0,0,0,0,0,0,0.00421,0,0,0,0,0,0.02646,0.02427,0.01893,0,0,0,0,0,0,0.00305,0,0,0,0.05624,0,0.01194,0,0.12323,0,0,0,0,0,0,0,0.05086
"Parabacteroides goldsteinii",0,0.23491,0.15412,0,0,0.0621,0,0,0,0,0,0,0,0,0,0.04014,1.88917,0,0,0,0,0,0,0.02144,0.2416,0,0,0.02283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09235,0.75826,0,0,0.0286,0,0,0,1.8669,0.19242,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:424",0,0.18229,0.13202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monoglobus pectinilyticus",0,0.14184,0,0,0,0,0,0,0,3.73649,0,0.0046,0,0,0,1.10188,0,0.01644,0,0,0,0.00966,0,0,0.01406,0,0,0,0,0,0,0,0,0.00632,0,0.73173,0,0,0,0,0,0,0,0,0,0.05344,0.00756,0,0.11903,0,0,0.30114,0,0,0,0,0,0.09621,0,0
"Anaerotignum lactatifermentans",0,0.10558,0.10202,0,0,0,0,0,0,0.0236,0.49397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03127,0,0.10427,0,0,0,0.00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0
"Blautia hansenii",0,0.09337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0
"Streptococcus gallolyticus",0,0.08464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia sp. CAG:257",0,0.04099,0.07247,0,0,0,0,0,0,0.09586,0.00438,0,0,0,0,0,0,0,0,0,0,0.00337,0,0,1.24416,0,0,0,0,0,0,0,0,0.51665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0
"Ligilactobacillus salivarius",0,0.03209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafnia paralvei",0,0.01722,0,0,0,0,0.02935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05395,0,0,0,0,0
"Weissella viridescens",0,0.01634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter bartlettii",0,0.01187,0,0.00687,0,0.02081,0.07839,0.00627,0.05578,0,0,0,0,0,0.00512,0,0,0.01788,0.12504,0,0.00422,0.18633,0,0.00143,0,0,0,0.02542,0.0333,0.05612,0.02997,0,0.00609,0.1354,0.06475,0,0.04043,0,0,0.01289,0.04733,0.04294,0,0.00774,0.00564,0.00203,0,0.01182,0,0.00767,0,0.06359,0,0,0.03137,0,0.00088,0,0,0.00798
"Dielma fastidiosa",0,0.00938,0,0.07023,0,0,0.00023,0,0,0.00366,0,0.00033,0,0.00409,0,0.08761,2.12858,0,0,0,0,0.00771,0,0,0.00208,0.04807,0.00302,0.00455,0,0,0.10753,0,0,0.00767,0.00872,0.0031,0,0,0,0,0.02108,0,0,0,0,0.0051,0.00408,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides nordii",0,0.00637,0.0113,0,0.06112,0,0,0,0.00581,0.00055,0,0,0,0.07761,0,0.01328,0.23066,0,0,0,0.01028,0,0,0,0,0,0.00145,0,0,0,0.01157,0.03004,0,0,0.02065,0.02265,0,0,0,0.31175,0,0,0,0,0,0,0.00838,0,0.00074,0.02498,0,0,0,0,0,0,0,0,0.00611,0
"Citrobacter freundii",0,0.00523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01608,0,0,0,0,0,0,0,0,0,0.01839,0,0,0,0,0,0,0,0,0,0.02238,0,0,0.00691,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium sp. An131",0,0.00412,0.03371,0,0,0,0.00244,0,0.02117,0.00985,0,0,0,0,0,0,0,0,0,0,0,0,0.03138,0,0.04881,0.00529,0,0,0,0,0,0,0,0,0,0,0.00932,0,0,0,0,0,0,0,0.00679,0.00147,0,0,0.00313,0,0.00336,0.03486,0,0,0,0,0,0,0.0045,0.08643
"Limosilactobacillus oris",0,0.00362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fretibacterium fastidiosum",0,0.00341,0.00095,0,0.00172,0.00075,0,0,0.00102,0,0,0,0,0,0,0.00282,0,0.00163,0,0,0.00169,0,0,0,0,0.00191,0.00164,0,0,0,0.00122,0,0.00292,0,0.00078,0,0,0,0,0,0.00237,0,0.01264,0,0,0.00058,0.00089,0,0.00082,0,0,0.00056,0.00442,0,0,0.00832,0,0,0.00288,0
"Ruminococcaceae bacterium D5",0,0.003,0.00193,0,0,0,0,0,0.07953,0,0,0,0,0,0,0.02167,0.53084,0,0,0,0,0,0.00731,0.00287,0,0.03913,0.01715,0,0,0.00407,0,0,0,0,0,0,0,0,0,0,0.01639,0.01047,0.31267,0,0,0,0.03502,0,0,0,0,0,0,0,0,0.00865,0,0,0.21307,0
"Eubacteriaceae bacterium CHKCI005",0,0.00298,0,0.00042,0,0,0,0.00297,0.00559,0,0,0,0,0,0,0.00708,0,0,0,0.00521,0,0.00143,0.04438,0,0.01425,0,0,0,0,0,0,0,0,0,0.04972,0.00368,0,0.04144,0.02895,0,0,0.00343,0,0,0,0,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0.00338
"Limosilactobacillus fermentum",0,0.00246,0,0,0,0,0.00827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08955,0,0,0
"Enorma massiliensis",0,0.00245,0.00271,0,0.08507,0.00169,0.64756,0.0043,0.5129,0.00117,0,0,0,0.00103,0,0.00063,0,0.00873,0,0.00558,0,0,0.02229,0.00035,0.00752,0.00299,0,0.00068,0,0.00201,0.01067,0.00084,0,0,0.07656,0,0.00228,0,0,0.00029,0.01572,0.02953,0,0,0.11186,0,0.01548,0.00976,0,0,0.07034,0,0.01033,0.00524,0.02667,0.01968,0.00418,0.00795,0.00268,0.01991
"Faecalitalea cylindroides",0,0,4.77745,0,0.02829,0,0.06286,0,0,0,0,0,0,0,0,0.13818,0.03448,0,0,0,0,0,0,0,0.60648,0,0.01166,0,0,0,0,0.01935,0,0,0,0,0,0,0,0,0,0.44359,0,0,0,0,0.1622,0,0,0,0,0,0,0,0.05491,0,0,0,0,0
"Dialister sp. CAG:357",0,0,2.07009,1.34992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47313
"Sanguibacteroides justesenii",0,0,0.12092,0,0,0.02128,0,0.07499,0,0,0,0,0,0,0,0.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides clarus",0,0,0.1009,0,0.23324,0,0.00809,0.00238,1.35213,0.10771,0,3.41796,0,0,0,0.01973,0,0.01925,0,0,0,0,0,0.12125,0,0,0.11017,0.00667,0,0,0.00284,0.32367,0,0.00281,0.01091,0,0,0,0,0,0,0,0,0,0,0,0.19254,0,0,0,0,0,0,0,0.64352,0,0,0,0,0
"Bacteroides sp. CAG:144",0,0,0.04672,0,0.13774,0.02219,0.12351,0.60248,0,0,0,0,0,0,0,0,0,0,0.25775,0,0,0,0,0,0,0,0.21638,0,0,0,0,0.34477,0.63846,0,0,0,0,0.00024,0,0,0,0.41561,1.20823,0,0,0,0.11531,0,0,0,0.57055,0,0.55487,0,0.02103,0.00301,0,0,0.96704,1.02601
"Marvinbryantia formatexigens",0,0,0.04557,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia turicensis",0,0,0.04204,0,0,0,0,0.02436,0,0,0,0,0,0,0,0.15198,0,0,0,0,0,0.00365,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48017,0.21465,0,0,0,0,0,0,0,0.00682,0,0,0.03404,0.01061,0,0,0,0,0,0.00514,0
"Eisenbergiella massiliensis",0,0,0.03683,0,0,0,0.07429,0,0,0.03931,0,0.00452,0,0,0,0,0,0,0,6e-04,0,0.01047,0.73471,0,0,0,0,0,0.00081,0,0,0,0,1.02039,0,0,0.00421,0,0,0,0,0.01186,0,0,0,0,3e-04,0,0,0,0.0536,0.1615,0,0,0,0,0,0.00039,0,0
"Candidatus Gastranaerophilales bacterium",0,0,0.02331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02899,0,0,0,0,0,0,0,0,0.1935,0,0
"Lachnoclostridium sp. An138",0,0,0.01964,0.00546,0,0,0.01835,0,0.02566,0.01318,0,0,0,0,0,0,0,0,0,0.00119,0,0,0,0.00402,0.00187,0,0,0,0,0.00321,0,0,0,0,0,0,0.00273,0,0,0,0,0.00231,0,0,0.00152,0,0,0,0.00045,0,0,0.00799,0,0,0,0,0,0,0,0.02519
"Prevotella corporis",0,0,0.01025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas synergistica",0,0,0.00798,0,0.12779,0.07665,0,0.02322,0,0.08121,0,0.0016,0,0.07267,0,0.02523,0,0,0,0,0.00914,0,0.2323,0.09553,0.00092,0,0.00494,0.01271,0,0,0,0,0,0,0.04342,0,0,0,0,0.01817,0,0.02014,0.00754,0,0,0,0.11821,0,0,0.05261,0.08558,0.22182,0,0.04568,0.00524,0,0,0.01801,0.0013,0
"Prevotella disiens",0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01627,0.03679,0,0,0,0,0,0,0,0,0,0
"Tractidigestivibacter scatoligenes",0,0,0.00571,0,0.03413,0.0019,0.70705,0.01311,0,0,0,0,0,0,0,0.00581,0,0.01843,0,0.0045,0,0,0,0,0,0.02926,0,0,0,0,0.04424,0,0,0,0,0.00053,0.00343,0,0,0,0.02468,0.02003,0.0072,0,0.00059,0,0.00071,0.00086,0,0,0,0,0.0192,0,0.06744,0.06011,0,0,0.00118,0.00523
"Peptoniphilus lacrimalis",0,0,0.00499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10366,0,0,0,0,0,0,0,0,0.00957,0,0,0,0,0,0,0,0,0,0
"Propionibacterium freudenreichii",0,0,0.0043,0,0,0,0.2316,0,0,0.01083,0,0,0,0,0,0,0,0,0,0,0.01152,0.01648,0,0,0,0,0,0,0.10634,0,0,0,0,0,0,0.00594,0,0,0,0,0,0,0,0,0,0.01721,0,0,0,0,0,0,0,0,0,0.01337,0,0,0,0
"Streptococcus milleri",0,0,0.00398,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0.03845,0,0.00495,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0
"Proteobacteria bacterium CAG:139",0,0,0.00289,0.36011,0,0,0,0.00407,0.05042,0.0473,0.04519,0,0.59718,0.16437,0,0.00032,0.51864,0,0.09536,0,0.56114,1.20847,1.46127,0.00159,0,0,0,0.80294,0,0.00695,0,0,0.45275,0,0,0,0.99005,0,0,0.00352,0,0,0.07443,0,0.00399,2.30118,0.03972,0.06151,0,0,0.64218,0.85967,0,0,0,0,0,0.6572,0.61949,0
"Enterocloster asparagiformis",0,0,0.0027,0,0,0,0,0,0,0.00356,0,0.0013,0,0.00658,0,0.00204,0,0,0,0,0,0,0.01011,0.00074,0.01568,0,0.01536,0,0,0,0,0,0,0.03583,0,0.00188,0.00076,0,0,0.00589,0,0.02101,0.00207,0,0,0.00518,0,0,0.00544,0,0,0.00795,0,0,0,0,0,0.0022,0,0
"Parabacteroides gordonii",0,0,0.00142,0,0,0,0,0,0,0.00065,0,0,0,0,0,0.72319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium pseudocatenulatum",0,0,0.00124,0,1.75594,0,0.00045,0,0,0,1.31372,1.8751,0,0,0,0,0,0.02929,0,0,0.48394,0,0,0.11148,0,0,0,0,0,0.005,0.00669,0,0.00033,0,0.00694,0,0,0,0,0,0,0,1.80293,0,0,0,0,0.21496,0.15419,0.99321,0.07962,0,0,0,0.79228,0.00751,2.38614,0,0,0.05771
"Lachnoclostridium sp. An118",0,0,0.00078,0,0,0,0.00651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239
"Fusobacterium sp. oral taxon 370",0,0,0,0.42062,0,0.07139,0,0,0,0,0,0,0,0,0,0,0,0.03211,0,0,0,0,0,0,0,0,0,0,0,0.23822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides galacturonicus",0,0,0,0.2657,0,0,0,0,0,0.0051,0,0,0,0.21986,0,0.15322,0,0.02966,1.52076,0.00655,0.26637,0,0,0.01034,0,0.00433,0,0.01395,0,0.00412,0,0.05584,0.03454,0,0.0016,0,0,0,0,0,0,0,0,0,0.00459,0,0.01907,0,0,0,0,0,0,0,0,0,0,0.05239,0,0
"Schaalia cardiffensis",0,0,0,0.11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0.01434,0.01818,0,0.01557,0,0,0,0
"Turicimonas muris",0,0,0,0.06313,0,0,0,0.00407,0.02438,0.03341,0.03964,0,0,0.00371,0,0,0.03761,0,0.05976,0,0.00651,0.01389,0.06745,0.00069,0,0,0,0.02771,0,0.00792,0,0,0.01019,0,0,0,0.01864,0,0,0.00067,0,0,0.00481,0,0.00424,0.02447,0.03882,0.03563,0,0,0.05939,0.00722,0,0,0,0,0,0.00373,0.02877,0
"Hungatella effluvii",0,0,0,0.02027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter ureolyticus",0,0,0,0.01825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02086,0,0,0.00077,0.00823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06567,0,0,0,0,0,0.00241,0,0
"Coprobacillus cateniformis",0,0,0,0.01568,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0,0,0,0.08708,0.02851,0,0.00416,0,0,0,0,0,0,0.04675,0,0,0,0,0,0,0.02575,0,0,0,0.02247,0,0.01488,0.01205,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas maltophilia",0,0,0,0.01141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales bacterium 1_7_47FAA",0,0,0,0.00596,0,0,0,0,0,0,0,0,0,0,0.00474,0,0,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01097,0,0,0,0,0,0,0,0
"Fusobacterium periodonticum",0,0,0,0.00467,0,0.00037,0,0,0,0,0,0,0,0,0,0,0,0.00234,0,0,0,0,0,0,0,0,0,0,0,0.02556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcaligenes aquatilis",0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus intestini",0,0,0,0,7.70516,0,0,0,0,0,0,0,0,0,0,0,0,1.87034,0,3.45149,0,0,0,0,0,0,0,0,0,0,0.02407,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47435,0,0,0,0,0,0,0,0,0,0,0,0.00379,0,0,0
"Megamonas hypermegale",0,0,0,0,3.22848,0,0.00782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium mitsuokai",0,0,0,0,0.75208,0,1.77504,0.67584,0,0,0,0,0,0,0,0.24285,0.01029,0.18549,0,0.38051,0,0,0,0,0,0,0,0,0,0,3.43407,0,0,0,0,0,0,0,0,0,1.97346,0,0,0,0,0,0,0,0,0,0,0,0,2.31733,0.04291,0,0,0,0,2.95019
"Prevotella sp. CAG:1185",0,0,0,0,0.6802,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0.09612,0,0,0,0,0,0,0.00267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01506,0,0,0,0,0,0
"Pyramidobacter piscolens",0,0,0,0,0.48394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides sp. CAG:409",0,0,0,0,0.17448,0,0.13546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus amylovorus",0,0,0,0,0.12164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides johnsonii",0,0,0,0,0.0686,0,0.55005,0,0,0.17559,0.59642,0,0.01136,0,0,0,0,0.26018,0,0,0.00893,0,0.15329,0.78064,0,0,0,0.03049,0,0,0,0,0.00698,0,0,0,0,0,0,0.3305,0,0,0.00352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter sp. C12-8",0,0,0,0,0.05292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallis vadensis",0,0,0,0,0.0313,0.00921,0,0.0073,0.0327,0,0,0,0,0.00439,0,0,0.00191,0.05983,0,0,0,0,0.03099,0.00905,0,0,0.0033,0,0,0,0.02902,0,0,0,0.05091,0,0,0,0,0,0.07896,0,0.2571,0,0,0.00132,0,0,0,0,0,0,0.65814,0,0,0.00467,0,0,0.00224,0.04381
"Lactobacillus paragasseri",0,0,0,0,0.01483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503,0,0,0
"Lactobacillus gasseri",0,0,0,0,0.01344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225,0,0,0
"Sharpea azabuensis",0,0,0,0,0.00274,0,0.00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella histaminiformans",0,0,0,0,0.00267,0.00436,0,0.00612,0,0,0,0,0,0.14438,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0.10334,0,0,0.03988,0,0,0.01218,0,0,0,0,0,0,0,0,0,0.00416,0,0,0,0,0,0,0,0,0.10139,0,0.02338,0,0,0,0.00293
"Streptococcus vestibularis",0,0,0,0,0.00219,0.00613,0.14755,0,0,0,0,0,0,0.00901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463,0,0,0.00156,0.00154,0,0,0,0,0,0.06036,0.10644,0.0017,0,0.06701,0,0,0,0.01457,0.0313,0,0,0,0,0,0,0.01392,0,0,0,0,0,0
"Eubacterium limosum",0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Butyribacterium] methylotrophicum",0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CAG:443",0,0,0,0,0,0,1.71312,0,0,0,0,0,0,0,12.70618,0,0,0,0,0.13432,0,0,0,0.08496,0,2.72013,0,16.36623,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72578,0,0,0,0,0,13.23651,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CAG:661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249,0,0,0,0,0,0.23975,0,0,0,0,0,0,0,0,0,0,0,0
